[2026-08-16T16:54:57.465+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c whoami | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T16:54:57.466+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: whoami | Image: C:\\Windows\\System32\\whoami.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T16:57:51.019+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c whoami | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T16:57:51.062+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: whoami | Image: C:\\Windows\\System32\\whoami.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T16:58:20.332+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c net user | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T16:58:20.349+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: c:\\windows\\system32\\net1  user | Image: C:\\Windows\\System32\\net1.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T16:58:20.349+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: net  user | Image: C:\\Windows\\System32\\net.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T17:09:32.491+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c dir | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T17:11:19.183+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c dir | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T17:15:06.887+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c dir | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
[2026-08-16T17:15:27.887+0700] | EventID: 1 | User: IIS APPPOOL\\VulnerableSite | Command: \"cmd.exe\" /c net user | Image: C:\\Windows\\System32\\cmd.exe | Target:  | SourceIP:  | DestIP:  | IsMalicious: False
